,tagged_acc,values
1194,Tim_HZ,1
1195,cheyennebaiza,1
1196,casablankies,1
1197,booksandwine,1
1198,xRosemary,1
1199,alexandra_adele,1
1200,DanielBrim,1
1201,elserracho,1
1202,debrink,1
1203,ZodiacFacts,1
1204,Michael_M00RE,1
1205,HannahHardesty2,1
1206,MrOwl,1
1207,devinsteuber,1
1208,kielyannese,1
1209,lexiiiemariiie,1
1210,ijustdgad_22,1
1211,sportsyelling,1
1212,HeatherBVitale,1
1213,nationalgridus,1
1214,madisonpaige06,1
1215,WynonnaMusic,1
1216,cooperhill27,1
1217,girlposts,1
1218,emuh_thaw,1
1219,NewYorkSyddie,1
1220,korycunningham,1
1221,imjrb3,1
1222,She_Halfrican,1
1223,BestHairstyIes,1
1224,omgsteponme,1
1225,KylieJenner,1
1226,Joordaank,1
1227,bobbykanode,1
1228,nick_rau,1
1229,SaccWhack,1
1230,mxfiavibes,1
1231,Summer_HillxX,1
1232,Donnie_Fairburn,1
1233,PeteyPlastic,1
1234,MayesMikayla,1
1235,ShelbySkrhak,1
1236,shayshaybug,1
1237,GuitarHero,1
1238,NickDemirjian_,1
1239,HennyNHandcuffs,1
1240,1LindaLee,1
1241,lidddddyy,1
1242,UPSers,1
1243,Nessa_255,1
1244,MichaelSmartGuy,1
1245,SimplyNamedMatt,1
1246,courtneyclogg12,1
1247,EmDegz,1
1248,SnapchatProbbz,1
1249,missymaddy15,1
1250,MAKAsandwich_,1
1251,SelvekTV,1
1252,FairlightEx,1
1253,puhdado,1
1254,Kdwolf77,1
1255,dailyburn,1
1256,BYRON_ALL_CAPS,1
1257,Powells,1
1258,DevonTalton,1
1259,JamesHankins,1
1260,cheapundies,1
1261,Gerard_Coury,1
1262,MatthewBrysYee,1
1263,AndreasWyder,1
1264,Ahmad__Allan,1
1265,stephenfry,1
1266,Imagine_angela,1
1267,Tylermason__,1
1268,LukeBryanOnline,1
1269,plbsports,1
1270,JonathanQuick32,1
1271,OSH74,1
1272,CoachKO_UConn,1
1273,geno_auriemma,1
1274,brianshall,1
1275,VenenoFierce,1
1276,DJFURE,1
1277,laurenmabra,1
1278,Thing_Finder,1
1279,Kiondo_,1
1280,evildadatron,1
1281,ElSangito,1
1282,Madison_Nikole,1
1283,prestoncampbelI,1
1284,HalSparks,1
1285,iMatthewKeller,1
1286,amandajones3434,1
1287,EmzeeMaze,1
1288,COLEMAN88_,1
1289,preston_dylan,1
1290,craigcampbelltv,1
1291,C__Ruggiero,1
1292,SarcasticRover,1
1293,tiana_lovexox,1
1294,ImJeremyEli,1
1295,ATTILAga,1
1296,FRONZ1LLA,1
1297,dulcetry,1
1298,scortscort,1
1299,CousinStizz,1
1300,hippieatheart__,1
1301,pseudo_fred,1
1302,WizKhalllifa,1
1303,MintMilana,1
1304,akphillips17,1
1305,Courtney_Bee,1
1306,rainsophie,1
1307,TheColIegeLife,1
