,hashtag,values
1372,partypartyparty,1
1373,GetRiped,1
1374,dogslife,1
1375,8glassesaday,1
1376,slurpslurp,1
1377,DoingGreatThings,1
1378,8bit,1
1379,lofi,1
1380,wish,1
1381,2am,1
1382,Veganuary,1
1383,GoVegan,1
1384,untilithurts,1
1385,thenforevermore,1
1386,YEEYEE,1
1387,ornah,1
1388,WestCoast,1
1389,Portland,1
1390,EatSleepPartyRepeat,1
1391,read,1
1392,eatclean2015,1
1393,mikehardlemonade,1
1394,pinklemonade,1
1395,FifthHarmony,1
1396,IggyAzalea,1
1397,TaylorSwift,1
1398,MeghanTrainor,1
1399,nocreditcarddebt,1
1400,nodebtdiet,1
1401,2015WillBeTheYear,1
1402,DivineHouse,1
1403,FriendsOnNetflix,1
1404,Friends,1
1405,BOOMCorps,1
1406,HopeThisOneComesTrue,1
1407,tweet,1
1408,bebrave,1
1409,bringiton2015,1
1410,HAPPY2015AMERICA,1
1411,Its2015,1
1412,StarWarsTheForceAwakens,1
1413,Lockup,1
1414,asseenontv,1
1415,skateboarding,1
1416,RealCocktail,1
1417,WontLast,1
1418,JkNotReally,1
1419,NEWYEARSRESOLUTION,1
1420,whyamidoingthis,1
1421,FAM,1
1422,REALROSSTALK,1
1423,FMR,1
1424,Eathealthy,1
1425,drinkmorewater,1
1426,selfcontrol,1
1427,Temper,1
1428,church,1
1429,ThePowerOfPositivePartying,1
1430,31days,1
1431,passport,1
1432,pun,1
1433,AreYouTheOne,1
1434,NewYearsResolutionRead,1
1435,NewYearsResolutionMake,1
1436,TrainHard,1
1437,TwoDetroits,1
1438,Holistic,1
1439,Cancer,1
1440,KickCancersButt,1
1441,streamchallenge,1
1442,getafterit,1
1443,livfit,1
1444,MakeItHappen,1
1445,FitFluential,1
1446,HR,1
1447,m,1
1448,TreatingMyselfRight,1
1449,yolo,1
1450,NewYearsResolutionBEDScroll,1
1451,startTODAY,1
1452,Family,1
1453,failed,1
1454,BlahBlahBlah,1
1455,keepingconsistent,1
1456,thankyou,1
1457,forTheWorld,1
1458,NewYearsDay,1
1459,weightraining,1
1460,RiseandGrind,1
1461,nomnom,1
1462,NewYearsResolutionStop,1
1463,HipHop,1
1464,celenrate,1
1465,aspiringadmin,1
1466,edpolicy,1
1467,iowa,1
1468,memphis,1
1469,vagabondprobs,1
1470,rucklesluts,1
1471,HNY2015,1
1472,Goodbye2014,1
1473,HappyNewYear2015,1
1474,doh,1
1475,CES,1
1476,GETITDONE2015,1
1477,MuayThai,1
1478,MyFitnessPal,1
1479,booty,1
1480,java,1
1481,scratchthatone,1
1482,Bacon,1
1483,pics,1
1484,foryourenjoyment,1
1485,TwitterFans,1
1486,photography,1
1487,CastleHunters,1
1488,lordoftherings,1
1489,lotr,1
1490,TheHobbit,1
1491,JesusFirst,1
1492,GoogleCar,1
1493,Gratitude,1
1494,takeout,1
1495,WakeandBake,1
1496,missionaccomplished,1
1497,Ne,1
1498,p2,1
1499,Italy,1
1500,HeathagensTakeOnRoma,1
1501,NewYorkYankees,1
1502,Yankees,1
1503,GoPats,1
1504,cat,1
1505,fighting,1
1506,onedrive,1
1507,LoseWeight,1
1508,ExerciseLess,1
1509,ChooseWisely,1
1510,Meth,1
1511,closetfatties,1
1512,worldpeace,1
1513,QuoteOfTheYear,1
1514,stillinbed,1
1515,sportsbiz,1
1516,seewhatididthere,1
1517,EverydayCounts,1
1518,starving,1
1519,NewYearsResolutionShutting,1
1520,HGTVNewYear,1
1521,21DayFix,1
1522,piyo,1
1523,NASPAshares,1
1524,studentaffairs,1
1525,sagrad,1
1526,sachat,1
1527,laugh,1
1528,joy,1
1529,procrastination,1
1530,fblogger,1
1531,coffeeandchocolateforbreakfast,1
1532,javascript,1
1533,angularjs,1
1534,SimpleTruthOrganic,1
1535,GotItFree,1
1536,Copenhagen,1
1537,they,1
1538,Gamedev,1
1539,MyHeadHurts,1
1540,Xort,1
1541,YAWN,1
1542,newyearsprobs,1
1543,gimme,1
1544,moving,1
1545,exercisestatus,1
1546,fail,1
1547,fatkid,1
1548,motivational,1
1549,done,1
1550,Jaysperations,1
1551,inspiration,1
1552,Relationships,1
1553,beautiful,1
1554,toys,1
1555,play,1
1556,gift,1
1557,McConnell,1
1558,Boehner,1
1559,ImpeachObama,1
1560,gymstruggles,1
1561,film,1
1562,filmisnotdead,1
1563,crossitoffmylist,1
1564,feedmemore,1
1565,inspired,1
1566,BlueLivesMatter,1
1567,firstdayof2015,1
1568,WINNER,1
1569,NotRealBowling,1
1570,HailState,1
1571,GaTech,1
1572,AsaPa,1
1573,SanaTumagal,1
1574,Cruise,1
1575,MeantToBeBroken,1
1576,CottonBowl,1
1577,NewYearsSix,1
1578,GoBucks,1
1579,Muppets,1
1580,MyMotivation,1
1581,CKOKickboxing,1
1582,hgtvroseparade,1
1583,yearofthesmile,1
1584,herewecome,1
1585,championshipmind,1
1586,dreambig,1
1587,GettingWorkDone,1
1588,letsgo,1
1589,TriviaCrack,1
1590,wickedsmaht,1
1591,GODWILLING,1
1592,InNOut,1
1593,DietStartsTomorrow,1
1594,dietneverstarted,1
1595,simple,1
1596,I,1
1597,do,1
1598,it,1
1599,whodey,1
1600,what,1
1601,Real,1
1602,goodbusiness,1
1603,iwokeuplikethis,1
1604,bringiton,1
1605,NYResolutionsBroken,1
1606,goodchoices,1
1607,blessed,1
1608,aiminghigh,1
1609,MaybeLater,1
1610,TaughtMeWell,1
1611,Cowboys,1
1612,CheekToCheekTour,1
1613,Yummy2015,1
1614,fatyear,1
1615,cuban,1
1616,tampa,1
1617,newyearnewjoy,1
1618,HIMYM,1
1619,herestome,1
1620,2015GonnaBeMyYear,1
1621,overrated,1
1622,thankyounetflix,1
1623,realisticgoals,1
1624,Hope,1
1625,HopeForTheCity,1
1626,ChangeTheCulture,1
1627,itsaprobl,1
1628,strugglestreet,1
1629,InsurgentYear,1
1630,resolutioncomplete,1
1631,STILLSTICKINTOIT,1
1632,reversehipster,1
1633,worthit,1
1634,AimHigh,1
1635,2015Rocks,1
1636,technology,1
1637,scrum,1
1638,web,1
1639,business,1
1640,eatgoodlookgood,1
1641,2015HereWeCome,1
1642,FangirlProblems,1
1643,photo,1
1644,tryagainnextyear,1
1645,onthatgymgrind,1
1646,doingresolutionsright,1
1647,ugh,1
1648,NoMoreRumps,1
1649,starttoday,1
1650,newplans,1
1651,setthebarhigh,1
1652,80,1
1653,OutbackBowl,1
1654,awkwardandiknowit,1
1655,flawless,1
1656,SHB,1
1657,SettingTheBarLow,1
1658,Repost,1
1659,dontfumble,1
1660,new,1
1661,ijustneedsleep,1
1662,NewMan,1
1663,Destroyallcliches,1
1664,16,1
1665,priorities,1
1666,donotdisturb,1
1667,ItsTheThoughtThatCounts,1
1668,goingstrong,1
1669,Virgos,1
1670,IWish,1
1671,FingersCrossed,1
1672,MojoHand,1
1673,NPCteennationals,1
1674,realworld,1
1675,winning,1
1676,FunFact,1
1677,sillybuttrue,1
1678,nonegativity,1
1679,GreatStartTo2015,1
1680,Followback,1
1681,Flourish,1
1682,OneWord365,1
1683,newdriver,1
1684,EpicFail,1
1685,Kardashians,1
1686,fbf,1
1687,hooping,1
1688,rave,1
1689,emazinglights,1
1690,HealthyNewYear,1
1691,ButWhosCounting,1
1692,LostGirl,1
1693,fb,1
1694,37,1
1695,letsseewhathappens,1
1696,getreadytodie,1
1697,NoMoreStressin,1
1698,289,1
1699,hardtask,1
1700,icandothis,1
1701,women,1
1702,3YearsSodaSober,1
