,hashtag,values
336,tedtalk,1
337,glutenfree,1
338,healthylifestyle,1
339,winterrunning,1
340,358,1
341,MerryChristmasEve,1
342,NextYear,1
343,HisLifeNotMine,1
344,tweettillihavenomorefriends,1
345,selfcare,1
346,phillyyoga,1
347,phillyfit,1
348,isthataweirdresolution,1
349,bubblewrap,1
350,Plastic,1
351,nohaters,1
352,HereWeGo2015,1
353,dslr,1
354,canon,1
355,eosrebelt5,1
356,sobored,1
357,freshstart,1
358,everything,1
359,wishfulthinking,1
360,tryingtofitin,1
361,Getup,1
362,getout,1
363,postbabybody,1
364,NoExcuses,1
365,bestladsever,1
366,TWFanmily,1
367,natural,1
368,Perfume,1
369,SorryNotSorry,1
370,skinny2015,1
371,BusyMoms,1
372,WAHM,1
373,Parents,1
374,mompreneur,1
375,mombiz,1
376,GameOfThrones,1
377,LovingLife,1
378,Beatitudes,1
379,forgiveness,1
380,StartingtoSave,1
381,FITGodsWay,1
382,thrive,1
383,workouts,1
384,supplements,1
385,Facebook,1
386,Instagram,1
387,15PoundsToGo,1
388,2fit2quit,1
389,NoBlamingOrComplaining,1
390,healthyfornewyears,1
391,MOSSA,1
392,Fight,1
393,healthygamer,1
394,Rusolution,1
395,detoxworkshop,1
396,cleanse,1
397,colonics,1
398,Drama,1
399,BS,1
400,LifeIsShort,1
401,ultrachat,1
402,nikeplus,1
403,ProblemSolved,1
404,HealthyLiving,1
405,ProjectLife,1
406,runnerspace,1
407,flotrack,1
408,Exeter,1
409,creative,1
410,mindfulliving,1
411,mindfood,1
412,skinny,1
413,Ana,1
414,proana,1
415,skinnydreams,1
416,binging,1
417,purging,1
418,TakeOver,1
419,watch,1
420,itsgonnahappen,1
421,sucker,1
422,LessStress,1
423,LessonsForLife,1
424,LessDrama,1
425,Camas,1
426,KeepItMenace,1
427,actuallystickingtoit,1
428,Hollywood,1
429,abouttime,1
430,whatsnext,1
431,aimhigh,1
432,sopositive,1
433,dontmakeitworse,1
434,chsocm,1
435,DustinSnapchatsIn2015,1
436,painandgain,1
437,me,1
438,productivity,1
439,toomuch,1
440,nevertoomuch,1
441,BffProbs,1
442,someoneteachme,1
443,BJJ,1
444,JiuJitsu,1
445,BrazilianJiuJitsu,1
446,thotful,1
447,jk,1
448,icanteven,1
449,LastSaturday,1
450,TheyreComingToGetYouBarbara,1
451,NightofTheLivingDead,1
452,again,1
453,paleodiet,1
454,newyearsdiet,1
455,insanitymax30,1
456,winterweight,1
457,beachbody,1
458,personalfinance,1
459,IComeHereTooMuch,1
460,comeon2015,1
461,happyheart,1
462,FarmersMarket,1
463,ordinarylife,1
464,photograph,1
465,literaryagents,1
466,R2DChallenge,1
467,AllIAskFor,1
468,promisespromises,1
469,sugarfree,1
470,dietinjanuary,1
471,StargateSG1,1
472,laceup,1
473,math,1
474,curves,1
475,school,1
476,KenyaQuotes,1
477,BigChopPart25,1
478,homedesign,1
479,recipes,1
480,dtla,1
481,shawshankRedemption,1
482,christmastree,1
483,purge,1
484,goodwill,1
485,KindleVoyage,1
486,reading,1
487,Fergforever,1
488,sarasotalifestyle,1
489,gettingfit,1
490,DietPepsi,1
491,muffintop,1
492,eww,1
493,mantra,1
494,WhoAmIKidding,1
495,NeedLotsOfShoes,1
496,aGirlNeedsCosmetics,1
497,KiddingMyself,1
498,FatChance,1
499,GirlProbs,1
500,EveryoneMatters,1
501,nutrition,1
502,lift,1
503,weighttraining,1
504,LetGo,1
505,READY,1
506,Ashtanga,1
507,doit,1
508,notsorry,1
509,ByeFelicia,1
510,WorkoutMotivation,1
511,timeformyself,1
512,justforme,1
513,ballroomdancing,1
514,needtoreducestress,1
515,idontneedyou,1
516,debatable,1
517,debate,1
518,loveoneanother,1
519,NewYearsResolutionmake,1
520,Newjob,1
521,pray,1
522,OnlyAtSouthern,1
523,JK,1
524,godslovechats,1
525,bodylife,1
526,nashschristmaskit,1
527,mybestfriendswedding,1
528,science,1
529,PatientHM,1
530,annoyed,1
531,beawesome,1
532,Before2014Ends,1
533,FailedResolutions,1
534,Weightlossgoals,1
535,2015goals,1
536,golf,1
537,roadtripping,1
538,traveltips,1
539,retweet,1
540,jointhefamily,1
541,celebration,1
542,youonlyliveonce,1
543,LoveWriteLive,1
544,GetFitNaturally,1
545,stessed,1
546,DietMightNotSuckThatMuchMaybe,1
547,pinkprint,1
548,lovemychurch,1
549,preachestruth,1
550,straightfromtheword,1
551,timetochange,1
552,TWISF,1
553,NorthMiamiBeach,1
554,FL,1
555,Florida,1
556,YouNeedaCar,1
557,JanuaryJones,1
558,thatisall,1
559,kindness,1
560,checkup,1
561,newbeginning,1
562,funny,1
563,wordoftheyear,1
564,outOfMyWay,1
565,Excited,1
566,newbeginnings,1
567,newpromises,1
568,FreshStart,1
569,innovativelife,1
570,NewYearsResolutionLove,1
571,Gods,1
572,theYearOf,1
573,Iwil,1
574,StartUpChallenge,1
575,GenYNot,1
576,entrepreneur,1
577,weightlosstransformation,1
578,iknewmorethen,1
579,myoffice,1
580,wastingtime,1
581,cliche,1
582,Creative,1
583,Writing,1
584,screenwriting,1
585,LongHairDontCare,1
586,362,1
587,Giants,1
588,party,1
589,crowdsource,1
590,CarpeDiem,1
591,kinkynewyearsresolutions,1
592,enoughisenough,1
593,timetogetserious,1
594,justaddvodka,1
595,justwaitonit,1
596,cleancar,1
597,moreorganized,1
598,morepatient,1
599,kiakey,1
600,boyfriend,1
601,n,1
602,gossip,1
603,imagirl,1
604,bepositive,1
605,planking,1
606,AmIDoingThisRight,1
607,bodybuilding,1
608,fitlife,1
609,stillquiethours,1
610,Marry,1
611,GetFit2015,1
612,playhard,1
613,OilPaints,1
614,watercolors,1
615,Organized,1
616,pointless,1
617,noresolutions,1
618,dayone,1
619,hesfat,1
620,catproblems,1
621,BeBrave,1
622,SendMeGiftCards,1
623,stayconnected,1
624,FrantasticMonday,1
625,SuccessStory,1
626,ivory,1
627,Elephants,1
628,focus,1
629,iOS8,1
630,iPhone6,1
631,MakeMoneybe,1
632,Successful,1
633,getbig,1
634,lowcarb,1
635,lowcal,1
636,mealplan,1
637,T25,1
638,gaydaddy,1
639,husband,1
640,gay,1
641,subscribe,1
642,GamersUnite,1
643,Life,1
644,BeKind,1
645,SmileMore,1
646,MotherTeresa,1
647,MakeaDifference,1
648,YOGA,1
649,workoutathome,1
650,RWD,1
651,paleo,1
652,mycoffee,1
653,planetfittness,1
654,lovethissong,1
655,realestate,1
656,mortgage,1
657,SuccessfulDay,1
658,GOBIG,1
659,GrowtheMMR,1
660,blogging,1
661,MondayBlogs,1
662,ChimneySweep,1
663,wellread2015,1
664,sickofallthehate,1
665,Pleasesayitsnotso,1
666,ouch,1
667,Joke,1
668,literaryagencies,1
669,publishing,1
670,editing,1
671,newauthor,1
672,hope,1
673,np,1
674,SoundCloudhttps,1
675,home,1
676,HomeImprovement,1
677,SonomaCounty,1
678,RealEstate,1
679,NawImSayin,1
680,NoRagrets,1
681,gymmotivation,1
682,fierce,1
683,girlswholift,1
684,aspartame,1
685,makeuptransformation,1
686,WeightLossJourney,1
687,strong,1
688,happy,1
689,ItsMyLife,1
690,knightsofCydonia,1
691,tattoo,1
692,LostHistory,1
693,Ps4,1
694,overmycapacity,1
695,Taken3,1
696,bakewell,1
697,IThinkYes,1
698,writng,1
699,GymWillBeNormalByFebruary,1
700,CIALDINI2015,1
701,14,1
702,FollowMeBackFrankie,1
703,postive,1
704,confident,1
705,motivated,1
706,feelsgood,1
707,bulletjournal,1
708,BillionaireEffect,1
709,NewMe,1
710,PersonalDevelopment,1
711,trending,1
712,topic,1
713,haha,1
714,newyearnewyou,1
715,reinventyourself,1
716,actuallyhappening,1
717,noreally,1
718,boo,1
719,retina,1
720,Yoga,1
721,yogabutt,1
722,cannabis,1
723,363,1
724,IDGAF,1
725,wwchat,1
726,weightwatchers,1
727,BigMac,1
728,FatGuyProblems,1
729,disappointed,1
730,heart,1
731,Hashtag,1
732,thankful,1
733,frappucino,1
734,iceblended,1
735,ToughMudder2015,1
736,ripped,1
737,lactoseintoleranceproblems,1
738,thatwaseasy,1
739,CASHFLOW,1
740,sp,1
741,cats,1
742,pets,1
743,Redwoodcanaopytours,1
744,Bucketlist,1
745,motivatedmonday,1
746,Paris,1
747,workouthard,1
748,Altanta,1
749,vibes,1
750,BFF,1
751,drinkmoreh20,1
752,TrainLikeAPro,1
753,famouspeople,1
754,LAfitness,1
755,Bollywood,1
756,LaceUp,1
757,betteryourself,1
758,positive,1
759,TheoreticallyPossible,1
760,getfit2015,1
761,Metal,1
762,newYearsResolution,1
763,BrandNew,1
764,Greensboro,1
765,LetItGoLetItGo,1
766,Cliche,1
767,Itsthattimeofyear,1
768,HashtagoftheWeek,1
769,badforyourbrain,1
770,LESSFACEBOOK,1
771,cybersecurity,1
772,CorpGov,1
773,sorrynotsorry,1
774,TexasMusic,1
775,DopeAmbition,1
776,LessFacebook,1
777,doiteveryday,1
778,stretchitout,1
779,workitout,1
780,dogs,1
781,Church,1
782,BET,1
783,DRIVEN,1
784,MTV,1
785,MUSICMATTERS,1
786,PositiveThoughts,1
787,BringIt2015,1
788,TMI,1
789,Personal,1
790,LotsOSkinProblemsSuddenly,1
791,discover,1
792,identity,1
793,prayer,1
794,Fit,1
795,vodka,1
796,HashTagofTheWeek,1
797,MarryMe,1
798,NeverSeenaHiddlestonMovie,1
799,ltthimanyways,1
800,healthier,1
801,LiveLife,1
802,stressfree,1
803,illdobetter,1
804,kinky,1
805,prodomme,1
806,dominatrix,1
807,femdom,1
808,FaceBook,1
809,BillCosby,1
810,orgasms,1
811,orgasmdenial,1
812,Draw,1
813,write,1
814,writestuff,1
815,draw365,1
816,drawsomething,1
817,writerlife,1
818,crack,1
819,undone,1
820,Growth,1
821,543,1
822,DizzyCares,1
823,overthinking,1
